Feature,Label
"2.232234,2.232234,2.233846,2.232234,2.249158,2.254799,2.254799,2.253993,2.267692,2.261245,2.265275,2.267692,2.277363,2.282198,2.292674,2.287839,2.296703,2.302344,2.305568,2.310403,2.312821,2.321685,2.321685,2.327326,2.336190,2.336190,2.340220,2.349084,2.352308,2.358755,2.361978,2.366007,2.367619,2.371648,2.376484,2.384542,2.389377,2.394212,2.399853,2.403077,2.411136,2.411942,2.417583,2.423223,2.425641,2.432088,2.434505,2.440953,2.444176,2.450623,2.450623,2.460293,2.461099,2.468352,2.469157,2.476410,2.484469,2.486081,2.485275,2.489304,2.494139,2.499780,2.505421,2.516703,2.506227,2.527179,2.523150,2.532015,2.527179,2.529597,2.531209,2.524762,2.533626,2.541685,2.548938,2.553773,2.550550,2.566667,2.553773,2.569084,2.571502,2.571502,2.579561,2.571502,2.587619,2.581172,2.577949,2.600513,2.590842,2.603736,2.594872,2.592454,2.604542,2.596483,2.595678,2.609377,2.606154,2.609377,2.613407,2.610183,2.612601,2.604542,2.613407,2.629524,2.634359,2.622271,2.603736,2.630330,2.627106,2.625494,2.635971,2.611795,2.620659,2.623077,2.622271,2.620659,2.632747,2.615824,2.627106,2.613407,2.615824,2.616630,2.634359,2.626300,2.632747,2.623077,2.612601,2.624689,2.627912,2.619853,2.615824,2.619048,2.613407,2.612601,2.604542,2.598095,2.589231,2.590842,2.623077,2.606960,2.598095,2.603736,2.602125,2.604542,2.590037,2.587619,2.584396,2.577949,2.575531,2.571502,2.578755,2.568278,2.565055,2.573920,2.568278,2.548938,2.554579,2.545714,2.548132,2.545714,2.545714,2.534432,2.535238,2.540073,2.519927,2.531209,2.515092,2.515898,2.513480,2.514286,2.513480,2.507839,2.486081,2.498168,2.487692,2.483663,2.481246,2.479634,2.473993,2.465128,2.463516,2.459487,2.455458,2.447399,2.444176,2.441758,2.437729,2.429670,2.428059,2.423223,2.416777,2.413553,2.405494,2.403883,2.399048,2.394212,2.387766,2.381319,2.382931,2.376484,2.370037,2.367619,2.362784,2.355531,2.351502,2.345861,2.344249,2.337802,2.332161,2.328132,2.325714,2.318462,2.316850,2.309597,2.301538,2.301538,2.301538,2.296703,2.287839,2.285421,2.287033,2.273333,2.274945,2.258828,2.269304,2.260440,2.253993,2.249158,2.252381,2.240293,2.233040,2.223370,2.231429,2.229011,2.212088,2.219341,2.218535,2.223370,2.204029,2.205641,2.199194,2.202418,2.191136,2.200806,2.181465,2.185495,2.177436,2.177436,2.183077,2.168571,2.173407,2.163736,2.166960,2.162125,2.158901,2.150843,2.149231,2.153260,2.150037,2.148425,2.147619,2.146007,2.145201,2.146007,2.142784,2.147619,2.155678,2.137143,2.146007,2.132308,2.133919,2.126667,2.128278,2.128278,2.129890,2.145201,2.137949,2.125055,2.109744,2.137949,2.136337,2.125861,2.132308,2.123443,2.131502,2.136337,2.126667,2.126667,2.132308,2.123443,2.139560,2.131502,2.136337,2.131502,2.138755,2.139560,2.143590,2.142784,2.141172",1
"2.407106,2.355531,2.310403,2.270916,2.234652,2.187106,2.163736,2.146007,2.142784,2.128278,2.152454,2.155678,2.162930,2.204029,2.239487,2.285421,2.332161,2.378095,2.421612,2.473187,2.500586,2.558608,2.578755,2.590842,2.631135,2.631135,2.631135,2.616630,2.610183,2.569084,2.539268,2.496557,2.452235,2.403883,2.357143,2.310403,2.258022,2.226593,2.197582,2.154066,2.141172,2.137949,2.129890,2.142784,2.145201,2.178242,2.200806,2.236264,2.279780,2.328132,2.374066,2.422418,2.465128,2.510257,2.537656,2.571502,2.589231,2.618242,2.615018,2.623883,2.618242,2.589231,2.561831,2.528791,2.505421,2.453846,2.404689,2.358755,2.313627,2.267692,2.234652,2.183077,2.175018,2.146813,2.125055,2.123443,2.113773,2.157290,2.172601,2.205641,2.236264,2.281392,2.328938,2.374872,2.416777,2.464322,2.515092,2.545714,2.574725,2.611795,2.619048,2.607766,2.632747,2.615018,2.600513,2.574725,2.540879,2.498974,2.447399,2.407106,2.359560,2.315238,2.276557,2.234652,2.190330,2.181465,2.125055,2.131502,2.129084,2.129890,2.138755,2.170183,2.196777,2.236264,2.278169,2.323297,2.371648,2.419194,2.461099,2.506227,2.534432,2.565055,2.587619,2.619048,2.634359,2.619853,2.605348,2.576337,2.564249,2.544103,2.503809,2.452235,2.405494,2.361978,2.315238,2.274139,2.231429,2.195971,2.166960,2.136337,2.142784,2.132308,2.129084,2.135531,2.175824,2.205641,2.240293,2.284616,2.322491,2.371648,2.415165,2.463516,2.507033,2.542491,2.590842,2.599707,2.617436,2.629524,2.623883,2.610183,2.590842,2.570696,2.536044,2.490110,2.453040,2.410330,2.361978,2.316044,2.265275,2.229011,2.184689,2.162125,2.149231,2.139560,2.116190,2.137949,2.149231,2.168571,2.194359,2.237875,2.282198,2.320073,2.369231,2.419194,2.465128,2.504616,2.543297,2.577949,2.600513,2.621465,2.619853,2.639194,2.619853,2.593260,2.574725,2.542491,2.494945,2.455458,2.407106,2.363590,2.316850,2.273333,2.245934,2.191136,2.168571,2.152454,2.135531,2.129890,2.129890,2.154066,2.173407,2.202418,2.242711,2.278975,2.324103,2.369231,2.418388,2.463516,2.509451,2.539268,2.571502,2.606960,2.618242,2.613407,2.631135,2.618242,2.587619,2.579561,2.540879,2.500586,2.457070,2.411942,2.363590,2.316850,2.270916,2.241905,2.204029,2.183077,2.155678,2.120220,2.131502,2.150843,2.140366,2.162125,2.197582,2.237070,2.273333,2.316044,2.365201,2.411942,2.452235,2.500586,2.537656,2.578755,2.616630,2.606154,2.619048,2.635971,2.621465,2.605348,2.567472,2.536044,2.506227,2.457070,2.420000,2.370037,2.323297,2.284616,2.239487,2.189524,2.183077,2.155678,2.137949,2.127473,2.137949,2.139560,2.160513,2.203223,2.226593,2.259634,2.313627,2.361978,2.410330,2.455458,2.498974,2.534432,2.574725,2.593260,2.613407,2.622271,2.619853,2.602931,2.592454,2.563443,2.541685,2.494139,2.460293,2.415165,2.370037",10
"2.274945,2.363590,2.450623,2.540879,2.603736,2.626300,2.603736,2.573920,2.507033,2.416777,2.323297,2.233040,2.175018,2.129890,2.125055,2.177436,2.224176,2.309597,2.407106,2.498168,2.573114,2.612601,2.615018,2.610183,2.547326,2.463516,2.374872,2.283004,2.203223,2.144396,2.138755,2.139560,2.200806,2.258828,2.352308,2.448205,2.521538,2.602125,2.629524,2.620659,2.592454,2.513480,2.426447,2.332967,2.252381,2.175018,2.148425,2.137143,2.158901,2.231429,2.302344,2.393407,2.490916,2.565055,2.621465,2.623077,2.594066,2.550550,2.469963,2.383736,2.295897,2.212088,2.157290,2.121832,2.141978,2.191941,2.262051,2.349084,2.446594,2.531209,2.586007,2.623077,2.627106,2.587619,2.520733,2.430476,2.336190,2.253187,2.176630,2.140366,2.120220,2.158901,2.219341,2.302344,2.396630,2.492527,2.563443,2.610989,2.617436,2.606154,2.548938,2.476410,2.382931,2.289451,2.208864,2.158095,2.131502,2.132308,2.181465,2.260440,2.348279,2.437729,2.521538,2.594066,2.626300,2.615018,2.583590,2.518315,2.431282,2.340220,2.249158,2.184689,2.149231,2.122638,2.158901,2.212088,2.300733,2.387766,2.477216,2.552967,2.610183,2.618242,2.613407,2.558608,2.481246,2.392601,2.298315,2.231429,2.167766,2.129890,2.132308,2.176630,2.247546,2.338608,2.434505,2.512674,2.591648,2.618242,2.619853,2.577949,2.528791,2.436117,2.348279,2.255605,2.179853,2.148425,2.125055,2.150843,2.211282,2.292674,2.384542,2.481246,2.547326,2.608572,2.623077,2.610183,2.556190,2.488498,2.397436,2.299121,2.210476,2.166960,2.118608,2.152454,2.189524,2.238681,2.335385,2.428059,2.508645,2.587619,2.624689,2.623883,2.599707,2.536850,2.445788,2.349084,2.258828,2.190330,2.146007,2.120220,2.142784,2.221758,2.287033,2.381319,2.471575,2.550550,2.600513,2.630330,2.611795,2.569890,2.481246,2.402271,2.307985,2.216923,2.166154,2.139560,2.139560,2.178242,2.243516,2.333773,2.427253,2.514286,2.577143,2.624689,2.606154,2.596483,2.526374,2.449011,2.353920,2.263663,2.184689,2.158095,2.137949,2.147619,2.210476,2.287033,2.376484,2.468352,2.540073,2.605348,2.634359,2.615824,2.556190,2.490916,2.404689,2.308791,2.233846,2.162930,2.125055,2.132308,2.170183,2.248352,2.329744,2.421612,2.515092,2.579561,2.606154,2.634359,2.589231,2.540879,2.450623,2.358755,2.273333,2.188718,2.135531,2.151649,2.149231,2.197582,2.274945,2.371648,2.465128,2.549744,2.592454,2.610183,2.614213,2.568278,2.490110,2.407106,2.315238,2.234652,2.170183,2.130696,2.146007,2.170183,2.239487,2.323297,2.416777,2.519121,2.568278,2.615018,2.619853,2.600513,2.527985,2.456264,2.360366,2.271722,2.199194,2.136337,2.139560,2.157290,2.200806,2.273333,2.368425,2.461905,2.532820,2.602125,2.615018,2.600513,2.573114,2.500586,2.411136,2.318462,2.234652,2.170183,2.146007,2.136337,2.171795,2.233040,2.316850",19
"2.134725,2.147619,2.244322,2.384542,2.513480,2.598901,2.623077,2.563443,2.442564,2.300733,2.175824,2.129890,2.151649,2.245128,2.383736,2.519121,2.603736,2.611795,2.556996,2.441758,2.300733,2.184689,2.137143,2.149231,2.240293,2.378095,2.519121,2.598095,2.615018,2.565055,2.447399,2.312015,2.189524,2.129890,2.152454,2.241905,2.374872,2.508645,2.598095,2.623077,2.569890,2.452235,2.313627,2.203223,2.116190,2.160513,2.234652,2.371648,2.509451,2.608572,2.621465,2.573114,2.456264,2.320073,2.204029,2.132308,2.141172,2.232234,2.363590,2.510257,2.602125,2.618242,2.576337,2.460293,2.320073,2.195165,2.129890,2.158095,2.245934,2.366813,2.502198,2.592454,2.627912,2.576337,2.456264,2.315238,2.192747,2.136337,2.150843,2.237875,2.371648,2.516703,2.606960,2.610183,2.568278,2.447399,2.309597,2.195971,2.116996,2.144396,2.236264,2.373260,2.508645,2.604542,2.629524,2.555385,2.457070,2.316850,2.192747,2.136337,2.138755,2.239487,2.368425,2.504616,2.603736,2.619853,2.569890,2.452235,2.320073,2.186301,2.149231,2.144396,2.237875,2.369231,2.495751,2.606154,2.615018,2.570696,2.463516,2.319268,2.200000,2.139560,2.152454,2.233846,2.361978,2.503809,2.595678,2.635971,2.582784,2.461905,2.331355,2.207253,2.141172,2.134725,2.231429,2.360366,2.492527,2.598901,2.610183,2.573920,2.468352,2.333773,2.204029,2.126667,2.129084,2.223370,2.355531,2.496557,2.576337,2.626300,2.589231,2.470769,2.327326,2.208864,2.147619,2.126667,2.217729,2.353920,2.490916,2.597289,2.635971,2.574725,2.474799,2.328938,2.212088,2.128278,2.142784,2.216923,2.355531,2.490916,2.603736,2.626300,2.570696,2.469157,2.329744,2.207253,2.142784,2.150843,2.213700,2.355531,2.497363,2.592454,2.616630,2.569890,2.468352,2.331355,2.202418,2.134725,2.146007,2.226593,2.353920,2.498168,2.608572,2.640806,2.596483,2.469963,2.327326,2.211282,2.146007,2.144396,2.226593,2.354725,2.490916,2.590842,2.618242,2.584396,2.476410,2.324908,2.202418,2.141978,2.154066,2.221758,2.355531,2.502198,2.590842,2.635165,2.586007,2.469963,2.329744,2.212088,2.137143,2.142784,2.224982,2.350696,2.486081,2.581172,2.634359,2.578755,2.473187,2.341831,2.202418,2.115385,2.137143,2.217729,2.348279,2.488498,2.592454,2.638388,2.577143,2.473187,2.334579,2.212088,2.134725,2.147619,2.218535,2.348279,2.484469,2.599707,2.619853,2.578755,2.484469,2.339414,2.206447,2.157290,2.150037,2.213700,2.345055,2.481246,2.583590,2.622271,2.594066,2.483663,2.349084,2.225788,2.143590,2.145201,2.220953,2.336190,2.481246,2.571502,2.635971,2.593260,2.479634,2.352308,2.220147,2.141172,2.141978,2.205641,2.337802,2.469963,2.595678,2.614213,2.597289,2.483663,2.345861,2.220147,2.160513,2.141978,2.208059,2.343443,2.479634,2.579561,2.633553,2.589231,2.480440,2.347473,2.214506,2.149231,2.136337",27
"2.135531,2.152454,2.272527,2.457070,2.586813,2.615018,2.494139,2.321685,2.158901,2.128278,2.228205,2.410330,2.574725,2.623077,2.540879,2.370037,2.196777,2.132308,2.206447,2.357949,2.539268,2.632747,2.571502,2.416777,2.241905,2.143590,2.170183,2.313627,2.487692,2.606960,2.598901,2.470769,2.286227,2.155678,2.156484,2.258828,2.441758,2.587619,2.634359,2.510257,2.326520,2.180659,2.141978,2.224982,2.405494,2.569890,2.631135,2.547326,2.375678,2.212894,2.125055,2.206447,2.357143,2.545714,2.617436,2.579561,2.419194,2.233040,2.149231,2.178242,2.312015,2.490916,2.616630,2.590037,2.469963,2.290257,2.131502,2.136337,2.269304,2.452235,2.589231,2.616630,2.511062,2.331355,2.166960,2.136337,2.228205,2.405494,2.561831,2.621465,2.544103,2.376484,2.212894,2.128278,2.177436,2.351502,2.524762,2.627912,2.571502,2.427253,2.242711,2.158901,2.157290,2.302344,2.476410,2.615824,2.613407,2.479634,2.292674,2.144396,2.147619,2.257216,2.449011,2.591648,2.612601,2.523150,2.334579,2.172601,2.116190,2.212088,2.384542,2.555385,2.630330,2.561831,2.392601,2.221758,2.125055,2.184689,2.334579,2.523150,2.626300,2.576337,2.447399,2.260440,2.146007,2.153260,2.291062,2.478022,2.602125,2.613407,2.494139,2.308791,2.161319,2.129084,2.245934,2.419194,2.597289,2.623883,2.532015,2.352308,2.187912,2.137949,2.204029,2.374872,2.547326,2.627912,2.555385,2.400659,2.233040,2.133114,2.171795,2.328132,2.502198,2.629524,2.603736,2.455458,2.262051,2.152454,2.160513,2.281392,2.461905,2.596483,2.624689,2.492527,2.312821,2.173407,2.129890,2.238681,2.420806,2.574725,2.644029,2.540073,2.358755,2.205641,2.139560,2.197582,2.375678,2.542491,2.621465,2.562637,2.407106,2.223370,2.134725,2.176630,2.324908,2.515092,2.623077,2.602125,2.449011,2.265275,2.153260,2.144396,2.284616,2.461905,2.588425,2.602931,2.495751,2.316850,2.161319,2.129084,2.228205,2.405494,2.579561,2.642418,2.548938,2.368425,2.209670,2.130696,2.187912,2.358755,2.536850,2.610183,2.576337,2.424835,2.245934,2.128278,2.175018,2.312821,2.498168,2.615018,2.596483,2.461905,2.281392,2.147619,2.162125,2.269304,2.458681,2.592454,2.618242,2.509451,2.327326,2.178242,2.132308,2.223370,2.397436,2.566667,2.618242,2.547326,2.375678,2.212088,2.121832,2.193553,2.351502,2.518315,2.637583,2.581172,2.428864,2.245934,2.136337,2.152454,2.302344,2.492527,2.608572,2.590842,2.466740,2.289451,2.139560,2.142784,2.258828,2.447399,2.581172,2.616630,2.514286,2.336996,2.179853,2.137949,2.225788,2.399853,2.556190,2.616630,2.547326,2.383736,2.201612,2.134725,2.181465,2.352308,2.528791,2.623883,2.579561,2.424029,2.251575,2.131502,2.170183,2.308791,2.487692,2.610989,2.595678,2.466740,2.282198,2.153260,2.141172,2.270916,2.455458,2.598095,2.623077,2.501392,2.329744,2.164542,2.126667",36
"2.476410,2.611795,2.547326,2.328938,2.154872,2.171795,2.345861,2.561831,2.634359,2.476410,2.241099,2.136337,2.221758,2.444176,2.606960,2.571502,2.387766,2.179853,2.141978,2.300733,2.530403,2.651282,2.516703,2.299121,2.138755,2.179853,2.386960,2.584396,2.604542,2.439341,2.216117,2.152454,2.254799,2.474799,2.615018,2.563443,2.345861,2.154066,2.145201,2.339414,2.548938,2.624689,2.498974,2.257216,2.127473,2.208059,2.428059,2.594872,2.587619,2.407912,2.194359,2.126667,2.275751,2.511868,2.615018,2.528791,2.307985,2.137143,2.170989,2.378095,2.586813,2.608572,2.447399,2.218535,2.113773,2.245934,2.474799,2.615824,2.567472,2.346667,2.158901,2.150843,2.337802,2.556996,2.614213,2.481246,2.259634,2.123443,2.210476,2.427253,2.602931,2.595678,2.394212,2.189524,2.149231,2.278169,2.515092,2.625494,2.529597,2.308791,2.138755,2.175824,2.378095,2.579561,2.607766,2.449011,2.224176,2.131502,2.241099,2.465128,2.618242,2.577143,2.357949,2.166154,2.154066,2.317656,2.547326,2.620659,2.505421,2.273333,2.138755,2.198388,2.419194,2.598901,2.598901,2.409524,2.195165,2.137143,2.270110,2.503809,2.618242,2.545714,2.329744,2.146007,2.172601,2.358755,2.563443,2.614213,2.469963,2.237875,2.121832,2.216923,2.445788,2.603736,2.578755,2.376484,2.170989,2.152454,2.310403,2.531209,2.631135,2.508645,2.291062,2.130696,2.186301,2.400659,2.605348,2.605348,2.437729,2.223370,2.127473,2.263663,2.484469,2.624689,2.548938,2.345861,2.157290,2.170183,2.341026,2.557802,2.626300,2.478022,2.257216,2.122638,2.205641,2.426447,2.602125,2.583590,2.395824,2.192747,2.144396,2.288645,2.510257,2.632747,2.524762,2.307179,2.134725,2.158901,2.379707,2.579561,2.618242,2.447399,2.222564,2.139560,2.245128,2.475605,2.622271,2.561831,2.347473,2.155678,2.148425,2.337802,2.553773,2.626300,2.481246,2.261245,2.136337,2.211282,2.429670,2.602931,2.592454,2.395824,2.172601,2.138755,2.294286,2.518315,2.619853,2.523150,2.307179,2.155678,2.180659,2.379707,2.589231,2.597289,2.444176,2.227399,2.136337,2.244322,2.482857,2.623077,2.556996,2.347473,2.164542,2.155678,2.331355,2.553773,2.632747,2.494139,2.265275,2.130696,2.216117,2.429670,2.598901,2.597289,2.395824,2.197582,2.137143,2.292674,2.520733,2.629524,2.515092,2.303956,2.146007,2.169377,2.379707,2.584396,2.611795,2.444982,2.229011,2.129890,2.249158,2.472381,2.629524,2.568278,2.347473,2.165348,2.146813,2.330549,2.553773,2.634359,2.489304,2.268498,2.116190,2.204835,2.431282,2.600513,2.586813,2.406300,2.191136,2.126667,2.283810,2.498974,2.626300,2.535238,2.315238,2.156484,2.189524,2.382931,2.594066,2.613407,2.453846,2.224982,2.121832,2.233040,2.457070,2.606154,2.561831,2.365201,2.172601,2.162125,2.320879,2.537656,2.619048,2.505421,2.264469,2.145201,2.195971,2.416777,2.598901",45
"2.469963,2.185495,2.157290,2.383736,2.599707,2.558608,2.315238,2.141172,2.245934,2.506227,2.626300,2.449011,2.200806,2.146007,2.371648,2.616630,2.558608,2.312015,2.136337,2.237875,2.504616,2.619853,2.453040,2.208864,2.153260,2.371648,2.605348,2.572308,2.312015,2.139560,2.229817,2.497363,2.629524,2.461905,2.197582,2.144396,2.359560,2.585202,2.578755,2.323297,2.134725,2.224982,2.500586,2.627912,2.468352,2.197582,2.159707,2.365201,2.594872,2.582784,2.324908,2.131502,2.236264,2.492527,2.630330,2.478022,2.200806,2.139560,2.349084,2.594872,2.592454,2.335385,2.154066,2.229817,2.482857,2.637583,2.465128,2.195971,2.142784,2.358755,2.605348,2.578755,2.324908,2.129890,2.234652,2.501392,2.629524,2.466740,2.207253,2.150843,2.360366,2.596483,2.574725,2.326520,2.140366,2.212894,2.503809,2.637583,2.461905,2.208864,2.138755,2.360366,2.594066,2.577949,2.334579,2.139560,2.223370,2.487692,2.619853,2.465934,2.210476,2.142784,2.358755,2.584396,2.575531,2.324103,2.133114,2.231429,2.489304,2.629524,2.482857,2.200000,2.141172,2.347473,2.584396,2.597289,2.337802,2.144396,2.213700,2.486887,2.632747,2.480440,2.216923,2.150843,2.347473,2.587619,2.579561,2.345861,2.127473,2.210476,2.473187,2.627106,2.490916,2.217729,2.156484,2.336996,2.574725,2.584396,2.345861,2.146007,2.207253,2.471575,2.639194,2.485275,2.215312,2.125055,2.337802,2.581978,2.598901,2.347473,2.137949,2.205641,2.478022,2.615018,2.478828,2.234652,2.137949,2.336190,2.576337,2.586007,2.358755,2.137949,2.205641,2.461099,2.635971,2.495751,2.226593,2.127473,2.329744,2.581172,2.586813,2.348279,2.150843,2.208864,2.484469,2.608572,2.490916,2.229817,2.134725,2.339414,2.566667,2.602125,2.346667,2.139560,2.210476,2.474799,2.613407,2.490110,2.229817,2.133114,2.324908,2.567472,2.594066,2.360366,2.131502,2.207253,2.440953,2.628718,2.498168,2.234652,2.115385,2.326520,2.576337,2.598901,2.358755,2.149231,2.209670,2.459487,2.623883,2.513480,2.228205,2.137949,2.313627,2.566667,2.586007,2.383736,2.148425,2.206447,2.444982,2.644835,2.523150,2.245128,2.129890,2.312015,2.556996,2.600513,2.382931,2.158901,2.181465,2.447399,2.632747,2.521538,2.247546,2.118608,2.303956,2.558608,2.619853,2.382125,2.155678,2.183077,2.442564,2.619853,2.518315,2.246740,2.140366,2.303150,2.556190,2.615824,2.382125,2.141172,2.187912,2.448205,2.629524,2.516703,2.245934,2.136337,2.306374,2.560220,2.606154,2.383736,2.164542,2.183883,2.442564,2.606960,2.515092,2.247546,2.135531,2.303150,2.548938,2.603736,2.382931,2.160513,2.187912,2.432894,2.619853,2.524762,2.265275,2.123443,2.302344,2.552967,2.619048,2.384542,2.155678,2.184689,2.445788,2.629524,2.507033,2.245128,2.142784,2.299121,2.561026,2.607766,2.383736,2.152454,2.178242,2.440147,2.616630,2.519927,2.257216",54
"2.320073,2.175824,2.587619,2.426447,2.121832,2.482051,2.556996,2.159707,2.352308,2.606960,2.255605,2.202418,2.596483,2.403077,2.141172,2.502198,2.533626,2.147619,2.368425,2.613407,2.243516,2.234652,2.618242,2.363590,2.158901,2.542491,2.502198,2.131502,2.410330,2.598095,2.188718,2.279780,2.618242,2.324908,2.168571,2.556190,2.463516,2.139560,2.448205,2.575531,2.164542,2.313627,2.618242,2.284616,2.200806,2.584396,2.424835,2.129890,2.488498,2.550550,2.160513,2.352308,2.611795,2.248352,2.208864,2.609377,2.382931,2.143590,2.529597,2.508645,2.141978,2.392601,2.626300,2.216923,2.265275,2.616630,2.344249,2.158901,2.566667,2.487692,2.139560,2.447399,2.582784,2.174212,2.311209,2.631941,2.295092,2.194359,2.596483,2.424835,2.129084,2.498168,2.548938,2.147619,2.370842,2.617436,2.225788,2.225788,2.616630,2.384542,2.159707,2.537656,2.515898,2.131502,2.392601,2.601319,2.221758,2.258022,2.615018,2.345055,2.166154,2.547326,2.492527,2.135531,2.434505,2.592454,2.191136,2.291062,2.625494,2.305568,2.176630,2.571502,2.442564,2.129890,2.465128,2.557802,2.162125,2.329744,2.616630,2.271722,2.218535,2.606960,2.403077,2.133919,2.497363,2.547326,2.138755,2.353920,2.606960,2.242711,2.216923,2.616630,2.382931,2.139560,2.519927,2.515898,2.142784,2.392601,2.606960,2.208864,2.253993,2.631135,2.341831,2.169377,2.560220,2.476410,2.142784,2.433700,2.596483,2.177436,2.294286,2.610183,2.307179,2.168571,2.579561,2.438535,2.128278,2.471575,2.553773,2.163736,2.334579,2.615018,2.266886,2.200806,2.597289,2.401465,2.139560,2.509451,2.550550,2.139560,2.371648,2.606960,2.233846,2.233040,2.608572,2.363590,2.159707,2.544103,2.495751,2.127473,2.411942,2.608572,2.207253,2.260440,2.624689,2.325714,2.158901,2.570696,2.461905,2.129890,2.449011,2.579561,2.178242,2.314432,2.610183,2.287839,2.199194,2.590842,2.420000,2.144396,2.497363,2.558608,2.147619,2.353920,2.616630,2.246740,2.207253,2.616630,2.400659,2.134725,2.524762,2.527179,2.127473,2.394212,2.622271,2.214506,2.246740,2.615824,2.341831,2.155678,2.556996,2.471575,2.131502,2.433700,2.584396,2.195971,2.292674,2.611795,2.305568,2.191136,2.579561,2.440147,2.142784,2.469963,2.569084,2.173407,2.334579,2.621465,2.266081,2.197582,2.602125,2.420000,2.139560,2.491722,2.544909,2.158901,2.354725,2.605348,2.236264,2.229817,2.609377,2.381319,2.126667,2.540879,2.532820,2.155678,2.395824,2.616630,2.214506,2.255605,2.610183,2.340220,2.155678,2.552967,2.492527,2.125861,2.433700,2.598095,2.180659,2.295092,2.611795,2.300733,2.176630,2.574725,2.454652,2.136337,2.475605,2.569890,2.165348,2.337802,2.627106,2.258828,2.200000,2.611795,2.416777,2.146007,2.486081,2.558608,2.145201,2.357143,2.640000,2.239487,2.219341,2.608572,2.397436,2.147619,2.521538,2.508645,2.155678",90
